signgu,stdr_yyqu,monthly_sales,flow_pop,work_pop,resident_pop
강남구,20221,8887740.8803,89013665,1008777,189146
강남구,20222,11156997.85,94097275,1008777,189146
강남구,20223,11319856.6889,93011993,1008777,189146
강남구,20224,10892734.7319,92022811,905975,186107
강남구,20231,10919273.0313,93554760,905975,186107
강남구,20232,11049813.6173,92441681,905975,186107
강남구,20233,11448481.0355,92782947,905975,186107
강남구,20234,10809880.7662,90862628,1093753,177133
강남구,20241,10487433.2146,91559331,1093753,177133
강남구,20242,11257029.8188,90542792,1093753,176979
강남구,20243,11112071.4084,91401231,1093753,176979
강남구,20244,10397327.5035,90370770,1147517,176979
강남구,20251,10066996.1878,90014779,1147517,176979
강남구,20252,10687862.1125,88571906,1147517,176979
강남구,20253,11893681.6818,91283352,1147517,176979
강남구,20254,10853700.94,87944067,1147517,176979
강남구,20261,10603495.0002,89807205,1147517,176979
강동구,20221,1114764.48,69715056,49687,208427
강동구,20222,1441970.7542,68481170,49687,208427
강동구,20223,1482214.903,66862052,49687,208427
강동구,20224,1339724.9854,67288604,50140,203788
강동구,20231,1322293.6878,68027677,50140,203788
강동구,20232,1505596.1774,66229102,50140,203788
강동구,20233,1639878.6514,66221189,50140,203788
강동구,20234,1506847.6401,66931978,49284,199728
강동구,20241,1463326.3219,68351721,49284,199728
강동구,20242,1634325.1155,66706131,49284,199728
강동구,20243,1698436.8666,67100189,49284,199728
강동구,20244,1614336.1481,67559838,52029,199728
강동구,20251,1530146.2795,68427265,52029,199728
강동구,20252,1778992.3009,66680226,52029,199728
강동구,20253,1917341.0527,66286346,52029,199728
강동구,20254,1666920.0434,65706277,52029,199728
강동구,20261,1647402.0859,66844060,52029,199728
강북구,20221,643288.2237,55334091,16749,145244
강북구,20222,881604.6811,55079389,16749,145244
강북구,20223,863056.3154,54729779,16749,145244
강북구,20224,795505.2556,54931810,15398,147973
강북구,20231,764881.1319,55819357,15398,147973
강북구,20232,889415.3713,55153700,15398,147973
강북구,20233,868417.6281,54915603,15398,147973
강북구,20234,810870.8763,54980265,17259,136022
강북구,20241,768372.3236,54947426,17259,136022
강북구,20242,840683.5826,53716432,17259,136022
강북구,20243,830648.0861,52244304,17259,136022
강북구,20244,742770.4519,52028498,14787,136022
강북구,20251,660830.7928,51772981,14787,136022
강북구,20252,756569.5783,51022039,14787,136022
강북구,20253,812611.6757,49967188,14787,136022
강북구,20254,831806.4613,49691026,14787,136022
강북구,20261,769747.8184,49897623,14787,136022
강서구,20221,1473829.6427,62385638,71471,232904
강서구,20222,1881561.9033,61249995,71471,232904
