signgu,avg_sales,quarterly_growth_pct,trend
강동구,1547325,1.91,상승
영등포구,4343396,1.07,상승
서대문구,1976934,0.84,상승
중구,6662493,0.78,상승
용산구,2314070,0.7,상승
송파구,4510357,0.64,상승
도봉구,625494,0.62,상승
종로구,6579615,0.57,보합
중랑구,763880,0.53,보합
은평구,814775,0.41,보합
성동구,2055164,0.37,보합
동작구,1664351,0.31,보합
광진구,2138931,0.23,보합
성북구,2208759,0.23,보합
서초구,5559442,0.23,보합
강남구,10814375,0.19,보합
강서구,1772546,0.13,보합
마포구,6339681,-0.13,보합
강북구,795946,-0.23,보합
구로구,1406455,-0.31,보합
동대문구,1428010,-0.36,보합
양천구,1173159,-0.41,보합
관악구,1620624,-0.63,하락
노원구,1722623,-1.25,하락
금천구,1862389,-3.38,하락
