signgu,svc_induty,stdr_yyqu,monthly_sales,prev_year,retention
중구,커피-음료,20231,6584197.6571,5017968.6909,1.3121241009415483
관악구,커피-음료,20231,1626169.3304,1387720.0721,1.171828067557718
은평구,커피-음료,20231,753193.0763,664726.6415,1.1330869402200723
금천구,커피-음료,20231,2369598.4239,2193986.7187,1.080042282709922
양천구,커피-음료,20231,1123196.88,1022573.611,1.0984019809601755
성동구,커피-음료,20231,1900169.1263,1741323.1858,1.09122140094116
도봉구,커피-음료,20231,553332.0882,510374.3373,1.0841691044405888
종로구,커피-음료,20231,6254418.4147,4831297.6433,1.294562843457507
송파구,커피-음료,20231,4237175.7416,3432057.5087,1.2345876288084008
성북구,커피-음료,20231,2154125.4747,1671924.0172,1.2884111075260174
노원구,커피-음료,20231,1684071.966,1601192.0231,1.0517614013212104
강북구,커피-음료,20231,764881.1319,643288.2237,1.1890177741800314
강서구,커피-음료,20231,1635012.7716,1473829.6427,1.1093634733826623
광진구,커피-음료,20231,2090259.455,1725681.3442,1.2112661830791323
서초구,커피-음료,20231,5563443.9209,4401259.8455,1.2640571373190468
마포구,커피-음료,20231,6184324.4245,5191750.5022,1.1911829010040829
강동구,커피-음료,20231,1322293.6878,1114764.48,1.1861641732610642
구로구,커피-음료,20231,1364548.1898,1236510.8475,1.1035472859448572
중랑구,커피-음료,20231,683884.5399,599208.0084,1.1413140851139532
동작구,커피-음료,20231,1613967.5968,1243354.2302,1.2980754459172787
용산구,커피-음료,20231,2115613.7961,1780314.2694,1.1883372685728133
강남구,커피-음료,20231,10919273.0313,8887740.8803,1.2285768879134364
동대문구,커피-음료,20231,1363530.975,1102074.2568,1.2372405639518065
영등포구,커피-음료,20231,4146535.8998,3415189.8024,1.2141450811565588
서대문구,커피-음료,20231,1749453.1102,1555710.1864,1.124536642810273
동대문구,커피-음료,20232,1657958.4637,1547721.741,1.0712251561632615
마포구,커피-음료,20232,6789259.7075,6505633.6621,1.0435969899523125
노원구,커피-음료,20232,1871779.1494,2050592.0179,0.9127993930830174
성북구,커피-음료,20232,2494815.9367,2153677.6409,1.158398030105119
강남구,커피-음료,20232,11049813.6173,11156997.85,0.9903930937209959
도봉구,커피-음료,20232,657743.9236,605126.8517,1.0869521353286198
강북구,커피-음료,20232,889415.3713,881604.6811,1.0088596287740377
성동구,커피-음료,20232,2067289.4818,2182658.4844,0.94714289778975
동작구,커피-음료,20232,1782671.2561,1680673.2236,1.0606887948637158
중랑구,커피-음료,20232,809466.3406,792316.4157,1.0216452979645112
강동구,커피-음료,20232,1505596.1774,1441970.7542,1.044123934562944
서초구,커피-음료,20232,5930781.8361,5595808.5817,1.0598614569296498
서대문구,커피-음료,20232,2013854.5849,1999417.469,1.0072206610794596
중구,커피-음료,20232,6785154.0807,6351117.9864,1.0683401088169713
종로구,커피-음료,20232,6760570.8318,7056043.4679,0.9581248843712215
용산구,커피-음료,20232,2452068.5285,2383276.1727,1.0288646177845455
광진구,커피-음료,20232,2260759.5408,2196075.1695,1.029454534251998
구로구,커피-음료,20232,1449975.1287,1580457.4684,0.917440144825855
금천구,커피-음료,20232,2422168.7505,2461912.0573,0.9838567317292451
영등포구,커피-음료,20232,4340030.2198,4313001.8966,1.0062667079328917
강서구,커피-음료,20232,1837677.664,1881561.9033,0.9766766965131294
은평구,커피-음료,20232,895745.0272,796877.9784,1.1240679896795602
송파구,커피-음료,20232,4650113.4358,4529952.8233,1.026525797770332
관악구,커피-음료,20232,1722492.3396,1790167.6004,0.9621961313650864
양천구,커피-음료,20232,1271005.7814,1291375.7005,0.9842261867773158
금천구,커피-음료,20233,1652651.9703,2430700.305,0.6799077479442699
은평구,커피-음료,20233,927209.3244,842714.127,1.1002655523300608
강서구,커피-음료,20233,1941735.7846,1906758.0666,1.0183440776324444
성동구,커피-음료,20233,2036450.8972,2089690.7773,0.9745226036893416
용산구,커피-음료,20233,2342483.1785,2288905.9725,1.0234073424787657
양천구,커피-음료,20233,1287030.5825,1291909.1817,0.9962237289825742
동대문구,커피-음료,20233,1481822.9224,1511925.2278,0.980090083261722
마포구,커피-음료,20233,6718955.0779,6751363.016,0.9951997932827494
서초구,커피-음료,20233,5928821.1836,5638522.6537,1.0514848565358705
관악구,커피-음료,20233,1676248.0118,1840628.1997,0.9106934317713963
중구,커피-음료,20233,6729389.7976,6445700.3118,1.0440122053581449
동작구,커피-음료,20233,1832491.9512,1708729.1099,1.072429761149936
강동구,커피-음료,20233,1639878.6514,1482214.903,1.106370370504904
도봉구,커피-음료,20233,671246.7646,648723.7934,1.0347188918136574
노원구,커피-음료,20233,1831137.6907,2077464.3073,0.8814291943623612
서대문구,커피-음료,20233,1900830.985,1882469.5383,1.0097539143802463
강북구,커피-음료,20233,868417.6281,863056.3154,1.0062120079586176
영등포구,커피-음료,20233,4345491.2099,4340543.7328,1.0011398288796431
중랑구,커피-음료,20233,841653.0427,810869.6729,1.0379634000737827
광진구,커피-음료,20233,2180459.3877,2222038.2507,0.9812879625330924
종로구,커피-음료,20233,6648389.2678,6729703.1661,0.9879171642057545
송파구,커피-음료,20233,4644259.1567,4524302.2394,1.0265139044547802
구로구,커피-음료,20233,1484156.0677,1523386.0241,0.9742481841244561
강남구,커피-음료,20233,11448481.0355,11319856.6889,1.0113627186399035
성북구,커피-음료,20233,2366561.6898,2243319.0001,1.0549376569692077
광진구,커피-음료,20234,2131502.6179,2177114.1767,0.9790495329605833
관악구,커피-음료,20234,1550226.5505,1729889.6399,0.8961418779232726
동작구,커피-음료,20234,1729113.2905,1631902.5767,1.0595689443646674
용산구,커피-음료,20234,2364088.8415,2205979.3722,1.0716731404166844
중랑구,커피-음료,20234,735091.6113,712350.5797,1.031923932187403
서대문구,커피-음료,20234,2009351.3259,1975853.5872,1.0169535530957383
영등포구,커피-음료,20234,4201426.4807,4216032.3808,0.9965356290510206
강남구,커피-음료,20234,10809880.7662,10892734.7319,0.992393648818294
양천구,커피-음료,20234,1116259.958,1178350.8607,0.9473069484048963
구로구,커피-음료,20234,1324338.9864,1430006.265,0.9261071219153016
강서구,커피-음료,20234,1724897.5491,1708221.5564,1.0097621954467921
노원구,커피-음료,20234,1652419.1473,1894963.1039,0.8720059741000639
성북구,커피-음료,20234,2286985.2706,2330107.2761,0.9814935535619738
은평구,커피-음료,20234,788462.8666,751429.7871,1.0492834861430262
종로구,커피-음료,20234,6576320.0059,6717861.7094,0.9789305422435316
강북구,커피-음료,20234,810870.8763,795505.2556,1.0193155489443129
송파구,커피-음료,20234,4529294.4098,4294769.5574,1.054607086425838
강동구,커피-음료,20234,1506847.6401,1339724.9854,1.1247440008369347
금천구,커피-음료,20234,1534721.8675,2382257.0992,0.6442301580360004
마포구,커피-음료,20234,6432123.935,6431129.231,1.0001546701930986
동대문구,커피-음료,20234,1494403.197,1505991.6907,0.9923050746086032
성동구,커피-음료,20234,2068769.2114,2031737.8972,1.0182264229313407
중구,커피-음료,20234,7019210.7105,6614058.2334,1.0612562609524725
서초구,커피-음료,20234,5592107.8978,5659505.0967,0.9880913264060319
도봉구,커피-음료,20234,612237.7387,604572.908,1.0126780915892446
양천구,커피-음료,20241,1067223.3974,1123196.88,0.9501659205107479
성북구,커피-음료,20241,2113470.8387,2154125.4747,0.98112708081424
영등포구,커피-음료,20241,4067872.1307,4146535.8998,0.9810290394196771
서초구,커피-음료,20241,5485124.6583,5563443.9209,0.9859225214249432
서대문구,커피-음료,20241,1858183.8148,1749453.1102,1.0621512539924947
중랑구,커피-음료,20241,723069.2457,683884.5399,1.0572972534307177
용산구,커피-음료,20241,2235417.358,2115613.7961,1.0566282759740224
종로구,커피-음료,20241,6012119.6964,6254418.4147,0.9612595924617842
중구,커피-음료,20241,6752320.5828,6584197.6571,1.0255343072088223
성동구,커피-음료,20241,1986313.7289,1900169.1263,1.0453352290633942
은평구,커피-음료,20241,796489.5802,753193.0763,1.0574839377343863
송파구,커피-음료,20241,4337414.1621,4237175.7416,1.0236568947367166
마포구,커피-음료,20241,6304539.2779,6184324.4245,1.0194386395583896
노원구,커피-음료,20241,1552813.0156,1684071.966,0.9220585859452517
강서구,커피-음료,20241,1688581.9186,1635012.7716,1.0327637483513832
동대문구,커피-음료,20241,1334020.1658,1363530.975,0.9783570672459421
관악구,커피-음료,20241,1596009.8621,1626169.3304,0.9814536729132743
도봉구,커피-음료,20241,586761.9152,553332.0882,1.0604154859494015
