signgu,svc_induty,stdr_yyqu,monthly_sales,prev_year,retention
강남구,의류,20241,2673.5555555555557,2436.5555555555557,1.0972684572939944
송파구,치킨전문점,20241,2505.777777777778,2299.3333333333335,1.0897844785928288
용산구,치킨전문점,20241,2475.1111111111113,2163.4444444444443,1.144060397514252
성동구,치킨전문점,20241,2587.222222222222,2501.0,1.0344750988493492
영등포구,한식음식점,20241,4050.1111111111113,3966.6666666666665,1.0210364145658264
송파구,의류,20241,2241.1111111111113,2269.0,0.9877087312080702
송파구,제과점,20241,2708.5555555555557,2587.4444444444443,1.0468072315025552
용산구,분식전문점,20241,2099.3333333333335,1852.888888888889,1.1330055169105302
성동구,한식음식점,20241,3961.0,3781.777777777778,1.0473909977670701
송파구,커피-음료,20241,2945.777777777778,2833.5555555555557,1.0396047368833816
성동구,커피-음료,20241,3094.3333333333335,2906.777777777778,1.0645235273880969
종로구,분식전문점,20241,2146.777777777778,2165.6666666666665,0.991278025755477
용산구,의류,20241,2187.5555555555557,2191.1111111111113,0.9983772819472616
영등포구,치킨전문점,20241,2544.8888888888887,2483.5555555555557,1.0246957766642806
종로구,한식음식점,20241,3799.3333333333335,3480.8888888888887,1.0914836567926456
송파구,분식전문점,20241,2095.0,1995.0,1.050125313283208
용산구,제과점,20241,2702.5555555555557,2680.4444444444443,1.008249046592605
강남구,분식전문점,20241,2269.1111111111113,2224.8888888888887,1.019876148621654
은평구,한식음식점,20241,3008.3333333333335,2991.5555555555557,1.0056083791412866
영등포구,제과점,20241,2921.5555555555557,2792.0,1.0464024196115886
송파구,한식음식점,20241,3674.777777777778,3502.4444444444443,1.0492037307277458
은평구,치킨전문점,20241,2137.5555555555557,1865.888888888889,1.145596379443816
영등포구,분식전문점,20241,2297.1111111111113,2185.3333333333335,1.0511490746390075
영등포구,커피-음료,20241,3277.1111111111113,3076.1111111111113,1.065342243091927
영등포구,의류,20241,2520.6666666666665,2341.5555555555557,1.0764923602543417
은평구,제과점,20241,2392.777777777778,2151.1111111111113,1.112345041322314
마포구,치킨전문점,20241,2542.5555555555557,2541.5555555555557,1.0003934598233803
종로구,제과점,20241,2782.222222222222,2530.1111111111113,1.0996442843968204
강남구,제과점,20241,2915.0,2797.3333333333335,1.0420638703527167
광진구,의류,20241,1963.0,1966.111111111111,0.9984176320994631
마포구,분식전문점,20241,2270.5555555555557,2189.0,1.0372569920308614
서대문구,의류,20241,2360.0,2119.8888888888887,1.113265894438912
동작구,분식전문점,20241,1750.6666666666667,1683.5555555555557,1.0398627243928193
관악구,분식전문점,20241,2204.5555555555557,2033.6666666666667,1.0840299404469214
은평구,커피-음료,20241,2550.8888888888887,2371.222222222222,1.0757696452837262
광진구,제과점,20241,2324.0,2233.777777777778,1.0403899721448469
동작구,제과점,20241,2370.8888888888887,2223.8888888888887,1.066100424681489
은평구,의류,20241,1909.7777777777778,1981.111111111111,0.9639932697700505
서대문구,분식전문점,20241,1935.0,1946.6666666666667,0.9940068493150684
광진구,치킨전문점,20241,2210.222222222222,2017.2222222222222,1.0956761222803635
마포구,한식음식점,20241,4128.333333333333,3780.8888888888887,1.0918949100740567
광진구,커피-음료,20241,2515.4444444444443,2358.4444444444443,1.0665693017996796
마포구,의류,20241,2546.222222222222,2325.3333333333335,1.094992354740061
마포구,커피-음료,20241,3181.4444444444443,2849.4444444444443,1.1165139403392474
강남구,커피-음료,20241,3152.8888888888887,3022.5555555555557,1.0431202440907252
용산구,한식음식점,20241,3552.5555555555557,3592.1111111111113,0.988988214915401
종로구,치킨전문점,20241,2305.777777777778,2420.8888888888887,0.9524508903983845
마포구,제과점,20241,2869.3333333333335,2763.222222222222,1.0384012224054044
서대문구,제과점,20241,2625.777777777778,2469.1111111111113,1.063450634506345
동작구,한식음식점,20241,3280.6666666666665,3147.4444444444443,1.0423271084124686
강남구,치킨전문점,20241,2696.0,2494.6666666666665,1.0807055050774987
동작구,의류,20241,2117.6666666666665,1887.0,1.1222398869457693
관악구,의류,20241,2359.5555555555557,2281.4444444444443,1.0342375687917011
성동구,제과점,20241,2870.6666666666665,2742.5555555555557,1.0467123121176518
관악구,제과점,20241,2752.1111111111113,2709.5555555555557,1.0157057327975068
은평구,분식전문점,20241,1903.111111111111,1738.5555555555557,1.0946507317696683
강남구,한식음식점,20241,4040.3333333333335,4050.5555555555557,0.9974763406940064
관악구,치킨전문점,20241,2395.222222222222,2459.777777777778,0.9737555334718583
성동구,의류,20241,2650.4444444444443,2349.5555555555557,1.1280620448311736
동작구,치킨전문점,20241,2091.0,1992.111111111111,1.0496402476434827
성동구,분식전문점,20241,2264.8888888888887,2190.222222222222,1.034090909090909
광진구,분식전문점,20241,1895.111111111111,1759.2222222222222,1.0772437314469778
관악구,커피-음료,20241,3012.0,2675.222222222222,1.1258877767163684
종로구,커피-음료,20241,3079.8888888888887,2824.0,1.0906122127793516
서대문구,한식음식점,20241,3505.0,3298.5555555555557,1.0625863172432377
서대문구,커피-음료,20241,2781.0,2537.0,1.0961765865195112
