trdar_cd,signgu,stdr_yyqu,svc_induty,flow_pop,work_pop,resident_pop,store_cnt,open_rate,close_rate,competitor_cnt,rent,change_idx,monthly_sales,survived_2y
01000,강남구,20231,커피-음료,12428,10064,11349,10,9.2,8.3,9,28.8,LL,2735,1
01000,강남구,20232,커피-음료,10452,6470,11103,11,8.9,8.9,3,28.6,LL,3130,1
01000,강남구,20233,커피-음료,10193,7905,10808,7,5.2,8.5,4,26.3,LL,3299,1
01000,강남구,20234,커피-음료,11202,9162,10416,1,6.6,7.0,1,25.5,LL,3566,1
01000,강남구,20241,커피-음료,11976,8221,10728,11,3.7,7.2,6,28.6,LL,3175,1
01000,강남구,20242,커피-음료,10089,7084,8838,3,5.2,5.8,1,26.6,LL,3531,0
01000,강남구,20243,커피-음료,12503,7569,13341,10,8.8,12.3,6,28.9,LL,3352,1
01000,강남구,20244,커피-음료,11715,8073,14225,8,11.9,7.7,7,28.3,LL,3381,1
01000,강남구,20231,한식음식점,13036,8491,11874,6,9.0,11.2,4,25.4,LL,4201,1
01000,강남구,20232,한식음식점,11806,7548,14205,7,8.7,7.5,5,25.3,LL,3968,0
01000,강남구,20233,한식음식점,13023,10615,13788,2,7.5,3.8,2,29.5,LL,4793,1
01000,강남구,20234,한식음식점,12051,10044,12689,6,7.3,9.3,3,25.6,LL,4343,1
01000,강남구,20241,한식음식점,9988,6313,8800,8,9.2,4.7,3,26.7,LL,4224,1
01000,강남구,20242,한식음식점,12994,7928,15856,13,10.6,6.0,6,26.8,LL,4021,0
01000,강남구,20243,한식음식점,11459,7755,12467,12,4.5,5.4,5,27.9,LL,4385,0
01000,강남구,20244,한식음식점,11837,7208,13288,10,9.1,9.5,3,28.9,LL,4508,1
01000,강남구,20231,분식전문점,10732,7375,10658,7,15.0,6.4,7,25.4,LL,2489,1
01000,강남구,20232,분식전문점,12651,8440,13346,10,5.9,6.5,6,29.0,LL,2468,1
01000,강남구,20233,분식전문점,9815,5853,10975,11,3.6,4.3,6,26.2,LL,2358,1
01000,강남구,20234,분식전문점,11928,7080,14761,3,9.1,11.0,4,26.3,LL,2148,1
01000,강남구,20241,분식전문점,10310,7517,10635,3,9.0,6.9,1,27.0,LL,2375,1
01000,강남구,20242,분식전문점,9921,6974,10533,11,10.0,10.3,12,25.0,LL,2036,1
01000,강남구,20243,분식전문점,12365,7240,15000,6,10.4,8.0,8,25.6,LL,2295,0
01000,강남구,20244,분식전문점,12698,11037,11669,6,6.7,8.4,1,26.0,LL,2712,1
01000,강남구,20231,제과점,10087,6578,12308,7,5.3,6.8,9,29.7,LL,2462,1
01000,강남구,20232,제과점,9882,8409,10382,2,5.3,7.6,0,30.1,LL,3310,1
01000,강남구,20233,제과점,12289,10584,14670,11,6.7,5.4,3,30.1,LL,3090,1
01000,강남구,20234,제과점,10090,7494,12132,5,5.6,3.2,3,29.1,LL,2993,1
01000,강남구,20241,제과점,9812,7172,11272,5,7.1,6.1,4,29.6,LL,2731,1
01000,강남구,20242,제과점,12589,10972,12404,10,9.0,4.4,3,28.2,LL,3281,0
01000,강남구,20243,제과점,11667,7747,14503,10,9.9,10.8,7,28.4,LL,2916,1
01000,강남구,20244,제과점,12054,10355,12997,3,1.0,4.1,0,27.2,LL,3486,1
01000,강남구,20231,치킨전문점,11126,6663,12882,5,7.4,3.4,2,26.5,LL,2715,0
01000,강남구,20232,치킨전문점,10912,7112,11611,5,9.6,6.4,2,29.7,LL,2648,1
01000,강남구,20233,치킨전문점,11941,7780,13164,2,6.9,4.3,2,26.1,LL,2604,1
01000,강남구,20234,치킨전문점,11047,9033,10989,6,8.3,5.3,1,28.7,LL,3198,1
01000,강남구,20241,치킨전문점,11850,7323,10900,5,13.4,9.7,0,25.4,LL,2977,1
